Topic,Article Count
-1,1269
0,359
1,148
2,136
3,130
4,104
5,101
6,97
7,90
8,90
9,89
10,72
11,71
12,69
13,58
14,54
15,52
16,51
17,44
18,42
19,40
20,40
21,36
22,35
23,33
24,33
25,33
26,32
27,32
28,30
29,29
30,28
31,27
32,24
33,24
34,24
35,23
36,23
37,23
38,21
39,21
40,20
41,20
42,19
43,19
44,19
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,18
53,18
54,17
55,16
56,16
57,16
58,16
59,16
60,16
61,15
62,14
63,14
64,14
65,13
66,13
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,11
75,11
76,11
77,11
78,11
79,10
