year,month,day,length
2023,01,05,15
2023,10,18,17
2023,10,21,17
2024,02,20,17
2024,02,21,17
2023,10,10,17
2024,01,06,18
2023,12,11,18
2024,04,08,18
2024,01,07,18
2023,10,28,18
2023,10,28,18
2023,10,16,18
2023,11,16,18
2023,10,24,18
2023,10,30,18
2023,10,27,18
2023,11,15,18
2023,10,31,18
2023,11,14,18
2023,11,01,18
2023,10,14,18
2023,11,13,18
2023,11,02,18
2023,12,20,18
2023,10,17,18
2023,12,12,18
2023,12,13,18
2023,12,19,18
2023,12,18,18
2023,12,17,18
2023,10,22,18
2023,12,21,18
2023,10,20,18
2023,12,22,18
2023,12,16,18
2023,10,23,18
2023,12,23,18
2023,12,24,18
2023,10,19,18
2023,12,25,18
2023,12,15,18
2023,10,18,18
2023,11,21,18
2023,10,25,18
2023,11,20,18
2023,10,26,18
2023,12,14,18
2023,12,30,18
2023,11,12,18
2023,10,13,18
2023,12,09,18
2023,10,21,18
2023,11,05,18
2023,11,10,18
2023,12,05,18
2023,11,04,18
2023,11,09,18
2023,11,04,18
2023,12,07,18
2023,11,03,18
2023,12,06,18
2023,11,06,18
2023,11,04,18
2023,12,08,18
2023,10,11,18
2023,11,07,18
2023,11,08,18
2023,10,20,19
2023,11,01,19
2023,10,07,19
2023,10,15,19
2024,03,17,20
2024,04,15,20
2024,04,06,20
2024,02,04,20
2024,03,09,20
2024,03,25,20
2023,04,07,20
2024,03,01,20
2024,02,14,20
2024,02,03,20
2024,02,26,20
2024,01,06,20
2024,02,02,20
2024,02,25,20
2024,02,01,20
2024,03,10,20
2024,01,07,20
2024,01,04,20
2024,03,08,20
2024,02,27,20
2024,02,05,20
2024,03,29,20
2024,04,17,20
2024,03,30,20
2024,03,18,20
2024,04,04,20
2024,03,19,20
2024,03,05,20
2024,03,02,20
2024,03,28,20
2024,03,27,20
2024,02,07,20
2024,04,16,20
2024,04,08,20
2024,02,06,20
2024,03,06,20
2024,03,07,20
2024,03,31,20
2024,03,26,20
2024,03,16,20
2024,02,12,20
