year,1-gram,count-sum,count-mean
2023,the,94046,42.13530465949821
2024,the,47119,45.26320845341018
2023,of,41879,18.91553748870822
2023,to,38874,18.51142857142857
2023,and,38431,18.068171133051244
2023,in,36625,17.170651664322552
2023,a,27698,13.29716754680749
2021,the,24189,54.85034013605442
2022,the,22774,47.84453781512605
2024,of,21236,18.876444444444445
2024,to,21102,20.790147783251232
2024,in,19181,18.443269230769232
2024,and,19135,19.173346693386772
2023,on,16985,7.755707762557078
2023,that,15919,8.26961038961039
2023,israel,14981,6.878328741965106
2023,s,14570,7.0048076923076925
2024,a,14104,14.585315408479834
2023,for,13215,6.614114114114114
2023,gaza,12360,6.695557963163597
2023,is,12344,6.123015873015873
2023,israeli,12115,6.313183949973944
2023,said,11729,6.879178885630498
2021,of,10837,24.685649202733487
2021,and,10383,23.490950226244344
2021,to,10007,23.057603686635943
2022,of,9538,20.20762711864407
2021,in,9503,21.646924829157175
2024,on,9287,8.240461401952086
2023,with,9280,4.858638743455497
2023,it,9270,5.113072255929398
2023,as,9228,4.911122937732837
2022,and,9028,19.046413502109704
2024,s,8969,8.043946188340808
2023,have,8748,4.616358839050132
2023,has,8669,4.616080937167199
2024,that,8639,9.577605321507761
2022,in,8600,18.181818181818183
2023,was,8560,4.9623188405797105
2022,to,8501,18.08723404255319
2023,palestinian,7957,4.686101295641932
2023,by,7937,4.16859243697479
2024,israel,7925,7.304147465437788
2023,from,7318,4.088268156424581
2023,are,7294,4.352028639618139
2023,at,7239,3.925704989154013
2024,gaza,7028,6.371713508612874
2021,a,6976,16.0367816091954
2024,for,6915,7.158385093167702
2022,a,6710,14.399141630901287
2023,he,6385,4.596832253419726
2024,is,6356,6.472505091649695
2023,an,6243,3.5191657271702366
2024,said,5888,7.443742098609356
2023,al,5713,3.8996587030716725
2023,not,5615,3.679554390563565
2023,people,5540,3.4388578522656736
2023,palestinians,5479,3.4633375474083437
2023,they,5384,3.8457142857142856
2023,been,5338,3.0607798165137616
2023,we,5284,4.042846212700842
2023,hamas,5250,3.5353535353535355
2023,were,5110,3.346430910281598
2024,it,5059,5.910046728971962
2023,this,4970,3.0831265508684864
2023,be,4926,3.3487423521414006
2023,their,4892,3.449929478138223
2023,war,4713,3.0038240917782026
2024,israeli,4694,5.662243667068758
2024,has,4631,5.094609460946095
2023,but,4622,3.104096709200806
2024,as,4543,5.186073059360731
2023,its,4536,3.0099535500995356
2024,have,4419,5.085155350978136
2024,with,4367,4.825414364640884
2023,us,4342,3.845881310894597
2022,israeli,4296,9.441758241758242
2023,more,4273,2.6857322438717786
2023,his,4028,3.836190476190476
2023,killed,4026,2.7746381805651277
2022,that,3945,9.089861751152073
2023,i,3935,4.4665153234960275
2023,who,3864,2.763948497854077
2021,on,3850,8.891454965357967
2024,by,3803,4.356242840778923
2021,israeli,3787,8.995249406175772
2021,israel,3746,8.91904761904762
2024,was,3715,4.603469640644362
2023,which,3675,2.508532423208191
2023,also,3640,2.5172890733056708
2021,that,3567,8.657766990291263
2022,on,3538,7.592274678111588
2021,s,3509,8.374701670644392
2022,s,3466,7.877272727272727
2023,had,3463,2.6195158850226927
2024,from,3448,4.235872235872236
2024,are,3441,4.211750305997552
2021,for,3361,8.157766990291263
2023,will,3351,2.7832225913621262
2024,an,3334,4.002400960384153
2023,after,3322,2.237037037037037
2024,us,3241,4.9632465543644715
2024,war,3238,3.238
2024,at,3212,3.7699530516431925
2023,than,3178,2.217725052337753
2021,said,3157,8.307894736842105
2022,palestinian,3071,6.76431718061674
2024,not,3065,4.075797872340425
2022,for,3054,6.925170068027211
2022,israel,3032,6.875283446712018
2023,or,3019,2.5649957519116398
2021,palestinian,3011,7.326034063260341
2024,he,2997,4.57557251908397
2022,was,2957,6.94131455399061
2023,there,2956,2.417007358953393
2021,is,2943,7.5268542199488495
2022,said,2877,7.051470588235294
2023,military,2855,2.4590869939707147
2024,its,2828,3.620998719590269
2023,all,2815,2.3111658456486044
2023,west,2808,3.1339285714285716
2022,is,2708,6.494004796163069
2024,they,2707,3.917510853835022
2024,this,2690,3.4050632911392404
2023,about,2672,2.1089187056037884
2024,been,2613,3.315989847715736
2023,one,2613,2.1775
2023,bank,2607,3.2506234413965087
2023,jazeera,2600,2.292768959435626
2024,palestinian,2586,3.8424962852897475
2024,al,2581,3.6558073654390935
2024,be,2557,3.536652835408022
2021,gaza,2553,7.736363636363636
2023,since,2552,1.9216867469879517
2023,out,2537,2.036115569823435
2024,we,2484,3.9935691318327975
2024,people,2481,3.3572395128552097
2023,them,2458,2.1694616063548104
2023,two,2453,2.0156121610517665
2023,would,2446,2.338432122370937
2023,what,2381,2.084938704028021
2023,told,2377,2.2070566388115136
2023,children,2371,2.4775339602925808
2021,with,2368,5.846913580246913
2023,she,2357,3.8077544426494345
2024,their,2338,3.5531914893617023
2023,october,2337,2.0357142857142856
2021,as,2332,5.918781725888325
2023,attacks,2319,2.1836158192090394
2023,no,2303,2.0766456266907123
2023,occupied,2301,2.6147727272727272
2021,by,2298,5.702233250620347
2024,were,2280,3.3827893175074184
2024,but,2275,3.125
2022,by,2274,5.227586206896552
2023,attack,2273,2.0987996306555865
2023,against,2257,2.2192723697148478
2023,our,2237,2.536281179138322
2023,hospital,2222,4.600414078674948
2023,strip,2218,1.9680567879325643
2021,it,2211,5.742857142857143
2023,into,2205,1.9444444444444444
2023,her,2200,4.824561403508772
2021,was,2144,5.55440414507772
2024,more,2134,2.775032509752926
2022,it,2122,5.291770573566085
2022,as,2122,4.992941176470588
2023,forces,2119,2.3492239467849223
2022,al,2115,5.479274611398964
2023,when,2081,2.02431906614786
2022,with,2079,4.823665893271461
2021,palestinians,2039,5.2148337595907925
2023,year,2031,2.2820224719101123
2021,from,2011,4.977722772277228
2024,i,2008,5.070707070707071
2023,united,2005,1.6820469798657718
2024,palestinians,2002,2.997005988023952
2023,including,1998,1.7209302325581395
2023,over,1993,1.894486692015209
2023,international,1958,2.132897603485839
2024,will,1902,2.971875
2022,an,1871,4.361305361305361
2022,palestinians,1869,4.684210526315789
2024,his,1859,3.7555555555555555
2021,al,1846,5.335260115606936
2023,t,1843,2.2837670384138784
2021,have,1837,4.71025641025641
2024,hamas,1835,3.213660245183888
2023,according,1834,1.8051181102362204
2023,other,1825,1.766698935140368
2024,which,1812,2.6147186147186146
2021,are,1810,5.112994350282486
2024,also,1800,2.601156069364162
2021,at,1785,4.429280397022333
2022,has,1748,4.0936768149882905
2023,some,1746,1.8168574401664932
2023,palestine,1744,2.3760217983651226
2023,7,1742,1.6962025316455696
2023,group,1738,1.8509052183173589
2021,has,1721,4.528947368421052
2023,government,1715,2.2477064220183487
2024,had,1715,2.7352472089314195
2024,killed,1714,2.535502958579882
2024,military,1712,2.961937716262976
2023,can,1710,1.993006993006993
2023,so,1704,1.8263665594855305
2023,under,1702,1.7331975560081467
2024,who,1700,2.809917355371901
2023,day,1698,1.7048192771084338
2023,many,1696,1.837486457204767
2023,while,1686,1.6809571286141576
2023,up,1684,1.7487019730010385
2022,at,1681,4.070217917675545
2023,least,1669,1.7259565667011376
2023,my,1661,3.2956349206349205
2023,humanitarian,1649,2.42143906020558
2023,if,1642,1.997566909975669
2022,have,1631,3.9396135265700485
2023,000,1630,1.8151447661469933
2023,state,1627,2.1492734478203435
2023,now,1625,1.7798466593647317
2022,from,1622,3.9852579852579852
2023,only,1614,1.8196166854565952
2021,an,1609,4.094147582697201
2023,minister,1607,1.9384800965018094
2021,he,1578,5.295302013422819
2023,during,1558,1.7744874715261958
2023,security,1557,2.08993288590604
2024,or,1532,2.6643478260869564
2023,support,1522,2.2284040995607612
2024,after,1513,2.2315634218289087
2024,would,1509,2.6566901408450705
2023,un,1499,2.8390151515151514
2023,civilians,1481,1.9258777633289987
2023,any,1479,1.7755102040816326
2024,there,1470,2.4257425742574257
2023,between,1463,1.7458233890214798
2023,city,1463,2.0123796423658873
2021,their,1459,4.329376854599406
2024,than,1458,2.119186046511628
2023,where,1455,1.6293393057110863
2022,abu,1453,6.758139534883721
2023,world,1451,1.820577164366374
2023,army,1422,2.1978361669242656
2023,family,1420,2.8803245436105476
2022,he,1415,4.223880597014926
2024,jazeera,1409,2.3212520593080725
2024,international,1408,2.564663023679417
2024,aid,1407,3.4400977995110025
2023,aid,1406,2.5379061371841156
2022,are,1405,3.968926553672316
2021,not,1404,4.216216216216216
2021,they,1395,4.543973941368078
2023,rights,1393,2.2873563218390807
2021,were,1390,4.017341040462428
2022,not,1387,3.896067415730337
2023,time,1385,1.6808252427184467
2023,could,1371,1.71375
2023,last,1364,1.567816091954023
2023,being,1358,1.6128266033254157
2024,all,1349,2.3876106194690268
2024,against,1333,2.4413919413919416
2023,netanyahu,1333,2.5783365570599615
2024,attacks,1320,2.7049180327868854
2023,east,1316,1.747675962815405
2024,about,1308,2.190954773869347
2023,1,1308,1.4517203107658159
