year,month,day,title,length,file
2023,1,5,The far-right movement at the heart of Israel’s new government,4,2023-01-05_3807.txt
2023,11,4,Israel-Hamas war updates: Another Gaza school hit by heavy Israeli bombing,6,2023-11-04_2595.txt
2024,3,14,Israel’s war on Gaza updates: At least 21 killed in attack on aid seekers,6,2024-03-14_359.txt
2023,11,4,Israel-Hamas war updates: Israeli air strikes pound Gaza as troops encircle,6,2023-11-04_2572.txt
2024,3,19,Israel’s war on Gaza updates: 23 killed in air strikes on food-aid workers,6,2024-03-19_321.txt
2024,1,7,Israel war on Gaza updates: Condemnation after Israel kills 2 journalists,6,2024-01-07_1481.txt
2023,10,28,Israel-Hamas war updates: ‘Long and difficult’ fight as Israel pummels Gaza,6,2023-10-28_2786.txt
2023,10,18,Israel-Hamas war updates: Regional tensions soar as Israel bombs Gaza,6,2023-10-18_3017.txt
2023,10,21,Israel-Hamas war updates: Hamas says repelled ground attack in Gaza,6,2023-10-21_2937.txt
2024,2,20,ICJ hearings on Israel’s occupation of Palestine updates: Day two,6,2024-02-20_1013.txt
2024,2,21,ICJ hearings on Israel’s occupation of Palestine updates: Day three,6,2024-02-21_1003.txt
2023,10,20,Israel-Gaza war updates: Hamas says Israel refused offer to free 2 hostages,6,2023-10-20_2958.txt
2024,1,6,Israel war on Gaza updates: Children dying ‘in every possible way’,6,2024-01-06_1492.txt
2023,11,1,Israel-Hamas war updates: Israel’s Jabalia attacks may be ‘war crimes’ – UN,6,2023-11-01_2681.txt
2023,10,11,Israel-Hamas updates: 45 killed in Israel strike on Gaza apartment block,6,2023-10-11_3209.txt
2024,4,8,ICJ updates: Nicaragua’s case against Germany over Israel’s war on Gaza,6,2024-04-08_103.txt
2024,3,15,Israel’s war on Gaza updates: Hamas puts forth proposal aimed at ending war,6,2024-03-15_353.txt
2023,10,10,Israel-Hamas war updates: Hamas claims release of woman and children,6,2023-10-10_3233.txt
2023,10,15,"Israel-Hamas war updates: Up to 250 captives held in Gaza, Hamas says",6,2023-10-15_3109.txt
2024,1,13,"Israel’s war on Gaza: List of key events, day 99",9,2024-01-13_1413.txt
2024,3,18,"Is­rael’s war on Gaza: List of key events, day 164",9,2024-03-18_330.txt
2024,1,22,"Israel’s war on Gaza: List of key events, day 108",9,2024-01-22_1317.txt
2023,10,22,"Israel-Hamas war: List of key events, day 16",9,2023-10-22_2929.txt
2023,11,20,"Israel-Hamas war: List of key events, day 45",9,2023-11-20_2218.txt
2024,1,25,"Israel’s war on Gaza: List of key events, day 111",9,2024-01-25_1284.txt
2023,10,14,"Israel-Hamas war: List of key events, day 8",9,2023-10-14_3134.txt
2024,1,10,"Israel’s war on Gaza: List of key events, day 96",9,2024-01-10_1456.txt
2023,12,28,Israel-Hamas war updates: Children among dead as Israeli strike hits Rafah,9,2023-12-28_1580.txt
2024,1,20,"Israel’s war on Gaza: List of key events, day 106",9,2024-01-20_1339.txt
2023,12,12,"Israel-Hamas war: List of key events, day 67",9,2023-12-12_1802.txt
2024,2,19,"Israel’s war on Gaza: List of key events, day 136",9,2024-02-19_1031.txt
2024,1,30,"Israel’s war on Gaza: List of key events, day 116",9,2024-01-30_1226.txt
2024,2,26,"Israel’s war on Gaza: List of key events, day 143",9,2024-02-26_946.txt
2023,10,26,"Israel-Hamas war: List of key events, day 20",9,2023-10-26_2839.txt
2024,3,17,"Is­rael’s war on Gaza: List of key events, day 163",9,2024-03-17_334.txt
2023,12,11,"Israel-Hamas war: List of key events, day 66",9,2023-12-11_1819.txt
2024,1,11,"Israel’s war on Gaza: List of key events, day 97",9,2024-01-11_1444.txt
2024,2,27,"Israel’s war on Gaza: List of key events, day 144",9,2024-02-27_934.txt
2024,2,18,"Israel’s war on Gaza: List of key events, day 135",9,2024-02-18_1049.txt
2024,4,7,"Israel’s war on Gaza: List of key events, day 184",9,2024-04-07_116.txt
2023,10,30,"Israel-Hamas war: List of key events, day 24",9,2023-10-30_2733.txt
2024,1,31,"Israel’s war on Gaza: List of key events, day 117",9,2024-01-31_1221.txt
2023,11,15,"Israel-Hamas war: List of key events, day 40",9,2023-11-15_2325.txt
