year,month,day,title,length,file,title_length,date
2023,1,5,The far-right movement at the heart of Israel’s new government,4,2023-01-05_3807.txt,62,2023-01-05
2023,4,7,Israel-Palestine updates: One killed in Tel Aviv attack,11,2023-04-07_3641.txt,55,2023-04-07
2023,5,9,Israel-Palestine updates: 12 killed in latest air raids on Gaza,14,2023-05-09_3593.txt,63,2023-05-09
2023,5,10,Israel-Palestine updates: Rocket fire after Gaza bombed,14,2023-05-10_3585.txt,55,2023-05-10
2023,5,2,Palestine updates: Israel strikes Gaza following Adnan’s death,19,2023-05-02_3613.txt,62,2023-05-02
2023,2,23,Israel-Palestine conflict updates: Israel bombs Gaza,21,2023-02-23_3717.txt,52,2023-02-23
2023,6,20,Latest updates: 2 Palestinians killed after West Bank shootings,22,2023-06-20_3497.txt,63,2023-06-20
2023,6,19,Israel-Palestine updates: 5 killed as Israeli troops raid Jenin,22,2023-06-19_3504.txt,63,2023-06-19
2023,5,13,Palestine updates: Gaza truce reported between warring sides,23,2023-05-13_3567.txt,60,2023-05-13
2023,5,11,Israel-Palestine conflict updates: Dozens killed in Gaza bombings,23,2023-05-11_3584.txt,65,2023-05-11
2023,5,15,Ethnic cleansing in Palestine,25,2023-05-15_3564.txt,29,2023-05-15
2023,4,7,"Israel-Palestine updates: Israel strikes target Gaza, Lebanon",26,2023-04-07_3647.txt,61,2023-04-07
2023,4,11,History Illustrated: The war on Al-Aqsa,26,2023-04-11_3631.txt,39,2023-04-11
2023,1,26,Why is the US worried about Israel’s new government?,92,2023-01-26_3776.txt,52,2023-01-26
2023,5,11,Desert Smugglers: Palestinians’ perilous journeys to Israel,95,2023-05-11_3579.txt,59,2023-05-11
2023,3,22,The new Palestinian resistance groups in the occupied West Bank,100,2023-03-22_3677.txt,63,2023-03-22
2023,6,30,Israel accused of using ‘automated apartheid’ in West Bank,103,2023-06-30_3472.txt,58,2023-06-30
2023,5,2,Photos: Protests in Palestine after the death of Khader Adnan,104,2023-05-02_3610.txt,61,2023-05-02
2023,5,6,Israel’s Automated Occupation: Hebron,106,2023-05-06_3599.txt,37,2023-05-06
2023,6,14,The family behind a unique Palestinian football club,106,2023-06-14_3513.txt,52,2023-06-14
2023,5,13,Israel’s Automated Occupation: Jerusalem,111,2023-05-13_3568.txt,40,2023-05-13
2023,1,25,The Arab world in the 1970s: Politics,114,2023-01-25_3781.txt,37,2023-01-25
